"","value","ZIPCODE","COLLEGE"
"1","Bloomfield","07003","Bloomfield College"
"2","Caldwell","07006","Caldwell University"
"3","Caldwell","07007","Caldwell University"
"4","Hackettstown","07840","Centenary University"
"5","Long Valley","07853","Centenary University"
"6","Parsippany","07054","Centenary University"
"7","Edison","08817","Centenary University"
"8","Edison","08818","Centenary University"
"9","Edison","08820","Centenary University"
"10","Edison","08837","Centenary University"
"11","Madison","07940","Drew University, Fairleigh Dickinson University"
"12","Madison","07940","Drew University, Fairleigh Dickinson University"
"13","Florham Park","07932","Fairleigh Dickinson University"
"14","Teaneck","07666","Fairleigh Dickinson University"
"15","Teaneck","07688","Fairleigh Dickinson University"
"16","Hackensack","07601","Fairleigh Dickinson University"
"17","Hackensack","07602","Fairleigh Dickinson University"
"18","Hackensack","07603","Fairleigh Dickinson University"
"19","Hackensack","07604","Fairleigh Dickinson University"
"20","Hackensack","07605","Fairleigh Dickinson University"
"21","Hackensack","07606","Fairleigh Dickinson University"
"22","Hackensack","07607","Fairleigh Dickinson University"
"23","Hackensack","07608","Fairleigh Dickinson University"
"24","Lodi ",NA,NA
"25","Lakewood","08701","Georgian Court University"
"26","West Long Branch","07764","Monmouth University"
"27","Princeton","08540","Princeton University"
"28","Princeton","08540","Princeton University"
"29","Princeton","08540","Princeton University"
"30","Princeton","08541","Princeton University"
"31","Princeton","08542","Princeton University"
"32","Princeton","08543","Princeton University"
"33","Princeton","08544","Princeton University"
"34","Lawrence",NA,NA
"35","Morristown","07960","Saint Elizabeth University"
"36","Morristown","07961","Saint Elizabeth University"
"37","Morristown","07962","Saint Elizabeth University"
"38","Morristown","07964","Saint Elizabeth University"
"39","Jersey City","07097","New Jersey City University"
"40","Jersey City","07300","New Jersey City University"
"41","Jersey City","07302","New Jersey City University"
"42","Jersey City","07303","New Jersey City University"
"43","Jersey City","07304","New Jersey City University"
"44","Jersey City","07305","New Jersey City University"
"45","Jersey City","07306","New Jersey City University"
"46","Jersey City","07307","New Jersey City University"
"47","Jersey City","07308","New Jersey City University"
"48","Jersey City","07309","New Jersey City University"
"49","Jersey City","07310","New Jersey City University"
"50","Jersey City","07311","New Jersey City University"
"51","Jersey City","07399","New Jersey City University"
"52","South Orange","07079","Seton Hall University"
"53","Hoboken","07030","Stevens Institute of Technology"
